"obj_id","ra","dec","filter","mjd","snr","instrument_id","instrument_name","ra_unc","dec_unc","origin","id","altdata","created_at","annotations","mag","magerr","magsys","limiting_mag","Delete"
"ZTF22aajijjf","220.41692","3.00674","atlaso","59584.615952","","72","ATLAS","","","None","214442826","","2022-05-12T22:40:44.125768","","","","ab","19.2",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59584.619172","","72","ATLAS","","","None","214442827","","2022-05-12T22:40:44.125840","","","","ab","19.2",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59584.624708","","72","ATLAS","","","None","214442828","","2022-05-12T22:40:44.125864","","","","ab","19.23",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59584.636677","","72","ATLAS","","","None","214442829","","2022-05-12T22:40:44.125884","","","","ab","19.27",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59586.621762","","72","ATLAS","","","None","214442830","","2022-05-12T22:40:44.125902","","","","ab","19.55",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59586.624971","","72","ATLAS","","","None","214442831","","2022-05-12T22:40:44.125921","","","","ab","19.53",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59586.631836","","72","ATLAS","","","None","214442832","","2022-05-12T22:40:44.125938","","","","ab","19.54",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59586.649869","","72","ATLAS","","","None","214442833","","2022-05-12T22:40:44.125956","","","","ab","19.55",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59588.610113","","72","ATLAS","","","None","214442834","","2022-05-12T22:40:44.125974","","","","ab","19.28",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59588.613336","","72","ATLAS","","","None","214442835","","2022-05-12T22:40:44.125991","","","","ab","19.3",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59588.619799","","72","ATLAS","","","None","214442836","","2022-05-12T22:40:44.126008","","","","ab","19.27",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59588.630395","","72","ATLAS","","","None","214442837","","2022-05-12T22:40:44.126025","","","","ab","19.22",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59592.637266","","72","ATLAS","","","None","214442838","","2022-05-12T22:40:44.126051","","","","ab","19.27",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59592.640036","","72","ATLAS","","","None","214442839","","2022-05-12T22:40:44.126067","","","","ab","19.2",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59592.656686","","72","ATLAS","","","None","214442840","","2022-05-12T22:40:44.126085","","","","ab","19.26",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59592.664848","","72","ATLAS","","","None","214442841","","2022-05-12T22:40:44.126103","","","","ab","19.02",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59596.589474","","72","ATLAS","","","None","214442842","","2022-05-12T22:40:44.126122","","","","ab","18.59",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59596.593193","","72","ATLAS","","","None","214442843","","2022-05-12T22:40:44.126139","","","","ab","18.61",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59596.599181","","72","ATLAS","","","None","214442844","","2022-05-12T22:40:44.126159","","","","ab","18.62",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59596.60934","","72","ATLAS","","","None","214442845","","2022-05-12T22:40:44.126176","","","","ab","18.67",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59600.621477","","72","ATLAS","","","None","214442846","","2022-05-12T22:40:44.126192","","","","ab","18.86",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59600.624703","","72","ATLAS","","","None","214442847","","2022-05-12T22:40:44.126211","","","","ab","18.81",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59600.640432","","72","ATLAS","","","None","214442848","","2022-05-12T22:40:44.126227","","","","ab","18.91",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59600.652012","","72","ATLAS","","","None","214442849","","2022-05-12T22:40:44.126242","","","","ab","18.75",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59604.579034","","72","ATLAS","","","None","214442850","","2022-05-12T22:40:44.126258","","","","ab","18.68",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59604.582258","","72","ATLAS","","","None","214442851","","2022-05-12T22:40:44.126275","","","","ab","18.71",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59604.587806","","72","ATLAS","","","None","214442852","","2022-05-12T22:40:44.126296","","","","ab","18.73",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59604.604955","","72","ATLAS","","","None","214442853","","2022-05-12T22:40:44.126312","","","","ab","18.7",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59607.662793","","72","ATLAS","","","None","214442854","","2022-05-12T22:40:44.126328","","","","ab","19.54",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59607.665564","","72","ATLAS","","","None","214442855","","2022-05-12T22:40:44.126344","","","","ab","19.46",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59607.667436","","72","ATLAS","","","None","214442856","","2022-05-12T22:40:44.126362","","","","ab","19.42",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59607.669776","","72","ATLAS","","","None","214442857","","2022-05-12T22:40:44.126379","","","","ab","19.23",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59618.634551","","72","ATLAS","","","None","214442858","","2022-05-12T22:40:44.126396","","","","ab","19.46",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59618.637315","","72","ATLAS","","","None","214442859","","2022-05-12T22:40:44.126429","","","","ab","19.46",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59618.6447","","72","ATLAS","","","None","214442860","","2022-05-12T22:40:44.126446","","","","ab","19.42",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59618.654649","","72","ATLAS","","","None","214442861","","2022-05-12T22:40:44.126462","","","","ab","19.45",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59622.628184","","72","ATLAS","","","None","214442862","","2022-05-12T22:40:44.126479","","","","ab","19.44",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59622.630025","","72","ATLAS","","","None","214442863","","2022-05-12T22:40:44.126496","","","","ab","19.45",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59622.632787","","72","ATLAS","","","None","214442864","","2022-05-12T22:40:44.126513","","","","ab","19.46",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59622.647555","","72","ATLAS","","","None","214442865","","2022-05-12T22:40:44.126528","","","","ab","19.44",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59624.660345","","72","ATLAS","","","None","214442866","","2022-05-12T22:40:44.126543","","","","ab","19.52",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59624.663561","","72","ATLAS","","","None","214442867","","2022-05-12T22:40:44.126607","","","","ab","19.51",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59624.66632","","72","ATLAS","","","None","214442868","","2022-05-12T22:40:44.126625","","","","ab","19.43",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59624.670626","","72","ATLAS","","","None","214442869","","2022-05-12T22:40:44.126643","","","","ab","19.09",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59628.591755","","72","ATLAS","","","None","214442870","","2022-05-12T22:40:44.126659","","","","ab","17.32",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59628.593583","","72","ATLAS","","","None","214442871","","2022-05-12T22:40:44.126674","","","","ab","17.86",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59628.599518","","72","ATLAS","","","None","214442872","","2022-05-12T22:40:44.126690","","","","ab","17.69",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59628.606381","","72","ATLAS","","","None","214442873","","2022-05-12T22:40:44.126706","","","","ab","18.7",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59636.581429","","72","ATLAS","","","None","214442874","","2022-05-12T22:40:44.126722","","","","ab","19.62",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59636.583715","","72","ATLAS","","","None","214442875","","2022-05-12T22:40:44.126739","","","","ab","19.62",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59636.586469","","72","ATLAS","","","None","214442876","","2022-05-12T22:40:44.126754","","","","ab","19.61",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59636.596574","","72","ATLAS","","","None","214442877","","2022-05-12T22:40:44.126770","","","","ab","19.61",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59638.561713","","72","ATLAS","","","None","214442878","","2022-05-12T22:40:44.126784","","","","ab","19.35",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59638.56399","","72","ATLAS","","","None","214442879","","2022-05-12T22:40:44.126800","","","","ab","19.37",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59638.567182","","72","ATLAS","","","None","214442880","","2022-05-12T22:40:44.126814","","","","ab","19.36",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59638.573561","","72","ATLAS","","","None","214442881","","2022-05-12T22:40:44.126832","","","","ab","19.39",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59642.559438","","72","ATLAS","","","None","214442882","","2022-05-12T22:40:44.126847","","","","ab","19.46",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59642.562625","","72","ATLAS","","","None","214442883","","2022-05-12T22:40:44.126862","","","","ab","19.5",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59642.568121","","72","ATLAS","","","None","214442884","","2022-05-12T22:40:44.126876","","","","ab","19.47",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59642.595567","","72","ATLAS","","","None","214442885","","2022-05-12T22:40:44.126891","","","","ab","19.49",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59644.628095","","72","ATLAS","","","None","214442886","","2022-05-12T22:40:44.126907","","","","ab","18.95",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59644.631094","","72","ATLAS","","","None","214442887","","2022-05-12T22:40:44.126922","","","","ab","18.96",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59644.6456","","72","ATLAS","","","None","214442888","","2022-05-12T22:40:44.126939","","","","ab","18.96",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59644.651159","","72","ATLAS","","","None","214442889","","2022-05-12T22:40:44.126953","","","","ab","18.92",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59646.618576","","72","ATLAS","","","None","214442890","","2022-05-12T22:40:44.126968","","","","ab","18.52",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59646.621766","","72","ATLAS","","","None","214442891","","2022-05-12T22:40:44.126983","","","","ab","17.17",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59646.628188","","72","ATLAS","","","None","214442892","","2022-05-12T22:40:44.126997","","","","ab","16.45",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59646.638604","","72","ATLAS","","","None","214442893","","2022-05-12T22:40:44.127012","","","","ab","19.16",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59648.559204","","72","ATLAS","","","None","214442894","","2022-05-12T22:40:44.127027","","","","ab","19.67",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59648.565754","","72","ATLAS","","","None","214442895","","2022-05-12T22:40:44.127048","","","","ab","19.65",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59648.5868","","72","ATLAS","","","None","214442896","","2022-05-12T22:40:44.127063","","","","ab","19.64",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59648.611736","","72","ATLAS","","","None","214442897","","2022-05-12T22:40:44.127079","","","","ab","19.66",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59650.590679","","72","ATLAS","","","None","214442898","","2022-05-12T22:40:44.127095","","","","ab","19.23",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59650.594137","","72","ATLAS","","","None","214442899","","2022-05-12T22:40:44.127110","","","","ab","19.35",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59650.624278","","72","ATLAS","","","None","214442900","","2022-05-12T22:40:44.127125","","","","ab","19.43",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59650.640394","","72","ATLAS","","","None","214442901","","2022-05-12T22:40:44.127139","","","","ab","19.4",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59654.532257","","72","ATLAS","","","None","214442902","","2022-05-12T22:40:44.127154","","","","ab","18.57",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59654.534079","","72","ATLAS","","","None","214442903","","2022-05-12T22:40:44.127169","","","","ab","18.59",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59654.537276","","72","ATLAS","","","None","214442904","","2022-05-12T22:40:44.127184","","","","ab","18.7",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59654.548982","","72","ATLAS","","","None","214442905","","2022-05-12T22:40:44.127198","","","","ab","18.75",""
