#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2023-04-06T20:37:25 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ642f2c8d2a0b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/444/3258&tab:{J/MNRAS/444/3258/SNe}&key:source=J/MNRAS/444/3258&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/444/3258/SNe
#-order=I
#-out=SN
#-out=z
#-out=S
#-out=MJDmax
#-out=Phase
#-out=V4130
#-out=e_V4130
#-out=W4130
#-out=e_W4130
#-out=V5972
#-out=e_V5972
#-out=W5972
#-out=e_W5972
#-out=V5355
#-out=e_V5355
#-out=W5355
#-out=e_W5355
#-out=V-PVF
#-out=e_V-PVF
#-out=W-PVF
#-out=e_W-PVF
#-out=V-HVF
#-out=e_V-HVF
#-out=W-HVF
#-out=e_W-HVF
#

#RESOURCE=yCat_74443258
#Name: J/MNRAS/444/3258
#Title: Velocities and EW of PTF SNe Ia (Maguire+, 2014)
#Table	J_MNRAS_444_3258_SNe:
#Name: J/MNRAS/444/3258/SNe
#Title: Light-curve information, heliocentric  redshift and spectral measurement information for each SN Ia in the sample
#Column	SN	(A9)	Supernova designation	[ucd=meta.id;meta.main]
#Column	z	(F9.6)	[0/0.2] Heliocentric redshift	[ucd=src.redshift]
#Column	S	(F5.2)	[0.6/1.7] Stretch parameter	[ucd=stat.fit.param]
#Column	MJDmax	(F7.1)	Maximum light MJD	[ucd=time.epoch]
#Column	Phase	(F5.1)	[-18/5] Phase (days after maximum)	[ucd=time.interval]
#Column	V4130	(I5)	[7699/13958]? SiII 4130 line velocity [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V4130	(I4)	[25/2222]? rms uncertainty on V4130 (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W4130	(F4.1)	[1/38]? SiII 4130 pseudo-equivalent width	[ucd=spect.line.width]
#Column	e_W4130	(F4.1)	[0.1/4]? rms uncertainty on W4130 (1)	[ucd=stat.error]
#Column	V5972	(I5)	[8000/19000]? SiII 5972 line velocity [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V5972	(I4)	[15/5352]? rms uncertainty on V5972 (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W5972	(F4.1)	[3/58]? SiII 5972 pseudo-equivalent width	[ucd=spect.line.width]
#Column	e_W5972	(F4.1)	[0.2/3.5]? rms uncertainty on W5972 (1)	[ucd=stat.error]
#Column	V5355	(I5)	[8400/21300]? SiII 5355 line velocity [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V5355	(I4)	[3/600]? rms uncertainty on V5355 (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W5355	(F5.1)	[9/227]? SiII 5355 pseudo-equivalent width	[ucd=spect.line.width]
#Column	e_W5355	(F4.1)	[0.1/7.6]? rms uncertainty on W5355 (1)	[ucd=stat.error]
#Column	V-PVF	(I5)	[8220/25150]? - PVF line velocity (2) [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V-PVF	(I4)	[6/3741]? rms uncertainty on V-PVF (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W-PVF	(F5.1)	[17/343]? - PVF pseudo-equivalent width (2)	[ucd=spect.line.width]
#Column	e_W-PVF	(F4.1)	[0.1/59]? rms uncertainty on W-PVF (1)	[ucd=stat.error]
#Column	V-HVF	(I5)	[14789/38210]? - HVF line velocity (2) [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V-HVF	(I4)	[6/3741]? rms uncertainty on V-HVF (1) [NULL integer written as an empty string]	[ucd=stat.error;phot.color;em.opt.V]
#Column	W-HVF	(F5.1)	[0/426]? - HVF pseudo-equivalent width (2)	[ucd=spect.line.width]
#Column	e_W-HVF	(F4.1)	[0/57]? rms uncertainty on W-HVF (1)	[ucd=stat.error]
SN|z|S|MJDmax|Phase|V4130|e_V4130|W4130|e_W4130|V5972|e_V5972|W5972|e_W5972|V5355|e_V5355|W5355|e_W5355|V-PVF|e_V-PVF|W-PVF|e_W-PVF|V-HVF|e_V-HVF|W-HVF|e_W-HVF
# | | |d|d|km/s|km/s|0.1nm|0.1nm|km/s|km/s|0.1nm|0.1nm|km/s|km/s|0.1nm|0.1nm|km/s|km/s|0.1nm|0.1nm|km/s|km/s|0.1nm|0.1nm
# ---------|---------|-----|-------|-----|-----|----|----|----|-----|----|----|----|-----|----|-----|----|-----|----|-----|----|-----|----|-----|----
PTF09a   | 0.055500| 0.88|54902.6| -4.6| 9327|  53|13.6| 0.8| 9829|  51|10.8| 0.4|10800|  39| 75.0| 1.0|     |    |     |    |     |    |     |
PTF09ac  | 0.161000| 0.97|54917.9|  3.1|     |    |    |    |     |    |    |    |10264| 308|  9.3| 0.7|     |    |     |    |     |    |     |
PTF09dhx | 0.087000| 1.70|55071.4| -3.4|10826| 301|23.2| 0.4|11209| 307|28.3| 1.2|11351| 299| 84.9| 0.8|11112| 447| 73.4| 2.8|15624| 447| 39.4| 1.4
PTF09djc | 0.033700| 0.82|55068.5| -0.5|11098| 302|32.7| 1.5|11643| 298|37.6| 0.3|13013| 298|160.7| 0.5|11017| 391|168.9|45.3|15733| 391|123.4|44.1
PTF09dlc | 0.068000| 1.05|55073.8|-10.8|12376| 318| 3.8| 0.5|     |    |    |    |16947| 300| 96.9| 1.0|     |    |     |    |     |    |     |
PTF09dlc | 0.068000| 1.05|55073.8| -5.8|10053| 319| 5.3| 0.7|11297| 307| 7.3| 0.3|11226| 298| 63.2| 0.7|10223| 298| 33.4| 1.2|21984| 298|133.1| 1.9
PTF09dlc | 0.068000| 1.05|55073.8| -3.8| 9757| 307| 6.2| 0.7|     |    |    |    |10597| 299| 57.2| 0.7|     |    |     |    |     |    |     |
PTF09dlc | 0.068000| 1.05|55073.8| -2.8| 9618| 311| 7.2| 0.9|10264| 305| 8.8| 0.5|10831| 299| 62.9| 1.1|     |    |     |    |     |    |     |
PTF09dlc | 0.068000| 1.05|55073.8| -0.8| 9256| 303|11.2| 0.6|10144| 299| 5.2| 0.2|10615| 298| 82.8| 0.4| 9663| 299| 70.9| 1.4|20537| 299|109.0| 1.2
PTF09dnl | 0.019000| 1.08|55074.9|-11.9|     |    |    |    |     |    |    |    |18444| 302|154.1| 1.6|17202| 299| 72.8|14.3|27494| 299|236.8|13.9
PTF09dnl | 0.019000| 1.08|55074.9| -6.9|10986| 304| 2.6| 0.4|     |    |    |    |12553| 298| 90.1| 0.5|11195| 298| 54.3| 0.3|23000| 298|169.9| 0.4
PTF09dnl | 0.019000| 1.08|55074.9| -4.9|11014| 299| 3.1| 0.2|     |    |    |    |11478| 298| 81.2| 0.4|10542| 298| 69.5| 0.8|21421| 298|117.7| 1.4
PTF09dnl | 0.019000| 1.08|55074.9| -3.9|10938| 302| 3.1| 0.4|     |    |    |    |11731| 298| 83.7| 0.3|11397| 300| 64.8| 1.1|21200| 300| 89.7| 1.6
PTF09dnl | 0.019000| 1.08|55074.9| -1.9|10684| 301| 4.3| 0.2|     |    |    |    |11165| 298| 88.7| 0.1|10674| 298| 97.0| 0.1|18805| 298| 71.2| 0.1
PTF09dnl | 0.019000| 1.08|55074.9|  1.1|10090| 299| 9.2| 0.2|     |    |    |    |10955| 298| 91.7| 0.2|10851| 298|138.9| 0.3|17652| 298| 44.2| 0.3
PTF09dnp | 0.037000| 0.92|55071.0| -8.0|     |    |    |    |12660| 298|22.8| 0.2|12729| 303| 77.7| 1.7| 9704| 303|144.3| 2.4|22165| 303| 61.3| 1.5
PTF09dnp | 0.037000| 0.92|55071.0| -3.0|     |    |    |    |12497| 298|11.8| 0.4|12452| 298| 78.5| 0.2|11150| 301| 54.1| 0.4|22984| 301| 12.7| 0.2
PTF09dnp | 0.037000| 0.92|55071.0| -1.0|11557|1520|15.1| 1.7|11889| 298|11.2| 0.5|11730| 298| 86.4| 0.2|     |    |     |    |     |    |     |
PTF09dnp | 0.037000| 0.92|55071.0|  0.0|11966|1821|14.0| 1.7|12108| 335|21.8| 1.2|12189| 298| 84.1| 0.3|10834| 316| 70.6| 1.2|17420| 316|  8.3| 1.6
PTF09dqt | 0.113000| 1.17|55070.7| -2.7|10375| 319| 5.4| 0.8|     |    |    |    |11146| 298| 76.8| 1.2|     |    |     |    |     |    |     |
PTF09dsy | 0.013100| 0.81|55070.5| -0.5| 9844|  94|34.0| 1.8| 9967|  37|36.2| 0.4|11317|  34|169.9| 0.6|11038|1804|251.1| 1.1|18577|1804|  0.0| 0.0
