# Time ZTFg ZTFr ZTFi B
1.12 -15.022 -14.927 -14.727 -15.006
1.38 -15.406 -15.318 -15.137 -15.384
1.62 -15.640 -15.595 -15.456 -15.514
1.88 -15.721 -15.834 -15.676 -15.518
2.12 -15.697 -15.998 -15.774 -15.409
2.38 -15.566 -16.077 -15.879 -15.179
2.62 -15.358 -16.088 -15.950 -14.910
2.88 -15.144 -16.057 -15.976 -14.646
3.12 -15.029 -16.016 -16.062 -14.507
3.38 -14.946 -16.027 -16.152 -14.377
3.62 -14.956 -16.096 -16.265 -14.364
3.88 -15.009 -16.202 -16.368 -14.399
4.12 -15.146 -16.331 -16.501 -14.530
4.38 -15.266 -16.469 -16.590 -14.620
4.62 -15.413 -16.609 -16.712 -14.760
4.88 -15.587 -16.780 -16.835 -14.925
5.12 -15.760 -16.933 -16.955 -15.077
5.38 -15.979 -17.095 -17.047 -15.306
5.62 -16.213 -17.268 -17.147 -15.558
5.88 -16.472 -17.426 -17.248 -15.871
6.12 -16.757 -17.561 -17.322 -16.213
6.38 -17.045 -17.666 -17.393 -16.560
6.62 -17.313 -17.750 -17.451 -16.900
6.88 -17.527 -17.813 -17.509 -17.169
7.12 -17.711 -17.860 -17.553 -17.417
7.38 -17.853 -17.905 -17.594 -17.613
7.62 -17.967 -17.955 -17.654 -17.774
7.88 -18.050 -18.004 -17.697 -17.895
8.12 -18.127 -18.053 -17.739 -17.997
8.38 -18.192 -18.101 -17.788 -18.098
8.62 -18.249 -18.137 -17.826 -18.169
8.88 -18.296 -18.175 -17.887 -18.231
9.12 -18.339 -18.228 -17.938 -18.286
9.38 -18.377 -18.254 -17.956 -18.332
9.62 -18.413 -18.297 -18.009 -18.372
9.88 -18.442 -18.338 -18.053 -18.405
10.12 -18.467 -18.353 -18.072 -18.436
10.38 -18.490 -18.398 -18.112 -18.455
10.62 -18.520 -18.423 -18.144 -18.483
10.88 -18.539 -18.445 -18.186 -18.502
11.12 -18.566 -18.484 -18.213 -18.521
11.38 -18.580 -18.488 -18.223 -18.529
11.62 -18.601 -18.533 -18.259 -18.540
11.88 -18.613 -18.535 -18.281 -18.544
12.12 -18.641 -18.574 -18.317 -18.563
12.38 -18.656 -18.585 -18.318 -18.564
12.62 -18.673 -18.627 -18.351 -18.579
12.88 -18.691 -18.624 -18.355 -18.582
13.12 -18.711 -18.653 -18.378 -18.592
13.38 -18.725 -18.677 -18.377 -18.591
13.62 -18.743 -18.688 -18.394 -18.598
13.88 -18.761 -18.707 -18.397 -18.604
14.12 -18.771 -18.722 -18.404 -18.601
14.38 -18.795 -18.744 -18.412 -18.609
14.62 -18.797 -18.755 -18.404 -18.598
14.88 -18.821 -18.779 -18.423 -18.609
15.12 -18.820 -18.790 -18.410 -18.594
15.38 -18.839 -18.815 -18.422 -18.600
15.62 -18.837 -18.816 -18.417 -18.589
15.88 -18.850 -18.836 -18.413 -18.584
16.12 -18.846 -18.837 -18.414 -18.565
16.38 -18.860 -18.861 -18.416 -18.559
16.62 -18.843 -18.862 -18.418 -18.528
16.88 -18.860 -18.882 -18.428 -18.526
17.12 -18.838 -18.882 -18.406 -18.488
17.38 -18.841 -18.899 -18.418 -18.471
17.62 -18.817 -18.904 -18.410 -18.426
17.88 -18.822 -18.921 -18.424 -18.412
18.12 -18.784 -18.915 -18.411 -18.355
18.38 -18.780 -18.933 -18.418 -18.331
18.62 -18.752 -18.938 -18.405 -18.281
18.88 -18.737 -18.950 -18.415 -18.239
19.12 -18.704 -18.948 -18.415 -18.195
19.38 -18.681 -18.958 -18.426 -18.139
19.62 -18.653 -18.964 -18.424 -18.094
19.88 -18.620 -18.974 -18.434 -18.030
20.12 -18.582 -18.967 -18.435 -17.978
20.38 -18.548 -18.985 -18.431 -17.918
20.62 -18.505 -18.981 -18.436 -17.856
20.88 -18.465 -18.993 -18.439 -17.793
21.12 -18.420 -18.985 -18.446 -17.723
21.38 -18.364 -18.988 -18.443 -17.647
21.62 -18.301 -18.993 -18.455 -17.563
21.88 -18.245 -18.975 -18.450 -17.480
22.12 -18.192 -18.988 -18.462 -17.400
22.38 -18.130 -18.978 -18.459 -17.312
22.62 -18.067 -18.972 -18.470 -17.230
22.88 -17.989 -18.962 -18.470 -17.130
23.12 -17.931 -18.961 -18.476 -17.038
23.38 -17.853 -18.949 -18.479 -16.933
23.62 -17.790 -18.945 -18.480 -16.848
23.88 -17.714 -18.924 -18.482 -16.747
24.12 -17.651 -18.920 -18.497 -16.658
24.38 -17.568 -18.899 -18.495 -16.557
24.62 -17.504 -18.895 -18.499 -16.469
24.88 -17.445 -18.870 -18.498 -16.401
25.12 -17.369 -18.858 -18.519 -16.280
25.38 -17.328 -18.838 -18.514 -16.230
25.62 -17.267 -18.823 -18.511 -16.148
25.88 -17.209 -18.806 -18.521 -16.073
26.12 -17.154 -18.791 -18.527 -16.005
26.38 -17.094 -18.773 -18.528 -15.947
26.62 -17.048 -18.765 -18.534 -15.878
26.88 -17.004 -18.747 -18.535 -15.840
27.12 -16.987 -18.737 -18.542 -15.809
27.38 -16.930 -18.724 -18.538 -15.751
27.62 -16.883 -18.717 -18.541 -15.694
27.88 -16.832 -18.701 -18.541 -15.639
28.12 -16.798 -18.685 -18.542 -15.596
28.38 -16.768 -18.682 -18.541 -15.567
28.62 -16.724 -18.672 -18.540 -15.524
28.88 -16.703 -18.660 -18.540 -15.493
29.12 -16.662 -18.650 -18.539 -15.454
29.38 -16.626 -18.638 -18.534 -15.404
29.62 -16.591 -18.627 -18.527 -15.372
29.88 -16.561 -18.622 -18.521 -15.332
30.12 -16.530 -18.610 -18.515 -15.287
30.38 -16.508 -18.597 -18.505 -15.268
30.62 -16.472 -18.581 -18.491 -15.248
30.88 -16.472 -18.581 -18.487 -15.243
31.12 -16.442 -18.570 -18.481 -15.203
31.38 -16.426 -18.561 -18.472 -15.187
31.62 -16.398 -18.548 -18.465 -15.153
31.88 -16.382 -18.539 -18.461 -15.140
32.12 -16.351 -18.537 -18.451 -15.105
32.38 -16.339 -18.523 -18.452 -15.106
32.62 -16.310 -18.516 -18.440 -15.077
32.88 -16.301 -18.511 -18.436 -15.052
33.12 -16.291 -18.498 -18.410 -15.049
33.38 -16.265 -18.488 -18.417 -15.030
33.62 -16.255 -18.482 -18.413 -15.016
33.88 -16.228 -18.465 -18.394 -15.002
34.12 -16.206 -18.464 -18.392 -14.986
34.38 -16.198 -18.449 -18.379 -14.957
34.62 -16.180 -18.428 -18.366 -14.949
34.88 -16.178 -18.430 -18.352 -14.945
