# phase g g(K_corr) g_err r r(K_corr) r_err
-11.45 nan nan nan -18.220 -18.114 0.050
0.69 -19.297 -19.333 0.020 -19.330 -19.095 0.030
1.53 -19.267 -19.307 0.030 -19.330 -19.083 0.030
2.37 -19.237 -19.281 0.050 -19.300 -19.041 0.040
4.20 -19.147 -19.196 0.060 -19.280 -18.995 0.050
5.13 nan nan nan -19.180 -18.883 0.020
17.19 nan nan nan -18.250 -17.928 0.140
20.00 -17.567 -17.683 0.420 -18.310 -18.008 0.110
23.01 -17.497 -17.614 0.080 -18.140 -17.859 0.050
23.93 nan nan nan nan nan nan
24.77 -17.357 -17.473 0.060 nan nan nan
25.71 nan nan nan nan nan nan
26.55 -17.137 -17.251 0.060 -18.040 -17.782 0.080
27.61 nan nan nan nan nan nan
32.28 -16.617 -16.725 0.080 -17.470 -17.249 0.060
33.19 -16.567 -16.674 0.100 -17.440 -17.224 0.060
35.85 -16.547 -16.649 0.100 -17.320 -17.119 0.060
36.77 -16.417 -16.518 0.150 -17.210 -17.014 0.080
-1.58 nan nan nan -19.300 -19.095 0.010
1.21 nan nan nan -19.380 -19.137 0.010
8.66 nan nan nan -19.030 -18.692 0.030
9.59 nan nan nan -19.000 -18.656 0.010
10.52 nan nan nan -18.870 -18.523 0.010
20.76 nan nan nan nan nan nan
32.86 50.373 50.266 0.000 -17.340 -17.122 0.020
