# m mu density M_B_max v_Si v_Si_err EW_Si_5972 EW_Si_5972_err EW_Si_6355 EW_Si_6355_err
1.0 -0.13 1400000 -19.512 -10720.941 0.000 16.223 2.331 36.392 2.669
1.0 -0.40 1400000 -19.572 -10727.144 0.000 13.127 1.917 35.223 2.446
1.0 -0.67 1400000 -19.607 -10749.719 0.000 13.378 2.153 30.414 2.470
1.0 -0.93 1400000 -19.571 -11180.571 0.000 1.392 1.126 24.687 2.809
1.0 0.13 1400000 -19.424 -11438.434 0.000 19.473 2.122 40.313 2.748
1.0 0.40 1400000 -19.305 -11230.562 0.000 17.117 1.775 42.622 2.828
1.0 0.67 1400000 -19.119 -12284.147 0.000 12.220 2.057 42.525 2.906
1.0 0.93 1400000 -18.799 -13173.666 0.000 13.752 2.260 53.271 3.712
1.0 -0.13 600000 -19.381 -11084.869 0.000 21.511 2.224 55.453 2.702
1.0 -0.40 600000 -19.459 -10908.233 0.000 20.189 1.582 53.255 2.037
1.0 -0.67 600000 -19.517 -10764.975 0.000 25.123 2.418 50.050 2.439
1.0 -0.93 600000 -19.562 -11105.565 0.000 20.849 2.363 47.145 2.473
1.0 0.13 600000 -19.283 -11486.759 0.000 24.625 2.258 62.604 2.701
1.0 0.40 600000 -19.154 -12075.277 0.000 21.844 2.049 61.690 2.506
1.0 0.67 600000 -18.993 -12556.321 0.000 22.735 1.868 65.078 2.804
1.0 0.93 600000 -18.799 -13483.171 0.000 20.821 2.001 65.991 3.155
1.1 -0.13 300000 -19.681 -12846.366 0.000 18.270 1.613 54.555 2.313
1.1 -0.40 300000 -19.709 -12202.985 0.000 21.680 1.853 54.762 2.277
1.1 -0.67 300000 -19.726 -11613.450 0.000 17.193 1.697 48.870 2.277
1.1 -0.93 300000 -19.733 -11779.426 0.000 18.379 2.093 46.058 2.532
1.1 0.13 300000 -19.640 -13932.406 0.000 19.530 1.904 65.219 2.661
1.1 0.40 300000 -19.587 -15464.049 0.000 9.732 2.155 62.978 2.916
1.1 0.67 300000 -19.499 -17197.845 0.000 9.533 2.248 72.129 3.041
1.1 0.93 300000 -19.358 -18877.108 0.000 5.668 2.277 88.824 2.869
