# Time ZTFg ZTFr ZTFi B B(intrinsic) B(unreddened)
1.25 -14.857 -14.801 -14.511 -14.842 -14.954 -14.972
1.75 -15.335 -15.228 -14.995 -15.286 -15.403 -15.416
2.25 -15.697 -15.643 -15.429 -15.582 -15.724 -15.711
2.75 -15.995 -16.051 -15.774 -15.853 -15.999 -15.982
3.25 -16.286 -16.364 -16.116 -16.130 -16.275 -16.258
3.75 -16.594 -16.694 -16.434 -16.455 -16.600 -16.583
4.25 -16.942 -17.022 -16.752 -16.801 -16.944 -16.930
4.75 -17.254 -17.242 -17.015 -17.147 -17.283 -17.276
5.25 -17.562 -17.472 -17.229 -17.465 -17.598 -17.594
5.75 -17.812 -17.665 -17.367 -17.735 -17.866 -17.864
6.25 -18.039 -17.829 -17.534 -17.973 -18.102 -18.102
6.75 -18.215 -17.977 -17.691 -18.174 -18.299 -18.304
7.25 -18.383 -18.125 -17.826 -18.352 -18.477 -18.482
7.75 -18.520 -18.238 -17.939 -18.504 -18.626 -18.634
8.25 -18.637 -18.353 -18.025 -18.632 -18.752 -18.762
8.75 -18.751 -18.454 -18.119 -18.749 -18.868 -18.878
9.25 -18.845 -18.550 -18.174 -18.848 -18.966 -18.977
9.75 -18.931 -18.621 -18.218 -18.937 -19.055 -19.066
10.25 -19.014 -18.693 -18.272 -19.021 -19.139 -19.151
10.75 -19.078 -18.750 -18.302 -19.088 -19.206 -19.218
11.25 -19.133 -18.804 -18.326 -19.142 -19.261 -19.272
11.75 -19.186 -18.851 -18.341 -19.192 -19.310 -19.322
12.25 -19.234 -18.893 -18.342 -19.238 -19.358 -19.368
12.75 -19.265 -18.940 -18.345 -19.271 -19.390 -19.401
13.25 -19.302 -18.963 -18.361 -19.301 -19.423 -19.431
13.75 -19.336 -18.997 -18.358 -19.333 -19.455 -19.462
14.25 -19.357 -19.023 -18.354 -19.346 -19.470 -19.475
14.75 -19.379 -19.047 -18.354 -19.365 -19.490 -19.494
15.25 -19.398 -19.066 -18.355 -19.376 -19.504 -19.506
15.75 -19.411 -19.076 -18.360 -19.381 -19.511 -19.510
16.25 -19.426 -19.093 -18.354 -19.387 -19.520 -19.516
16.75 -19.437 -19.105 -18.354 -19.387 -19.523 -19.517
17.25 -19.441 -19.110 -18.353 -19.379 -19.518 -19.508
17.75 -19.440 -19.120 -18.361 -19.368 -19.509 -19.497
18.25 -19.443 -19.129 -18.358 -19.356 -19.501 -19.485
18.75 -19.439 -19.128 -18.365 -19.338 -19.486 -19.466
19.25 -19.425 -19.133 -18.380 -19.307 -19.460 -19.436
19.75 -19.412 -19.131 -18.379 -19.276 -19.433 -19.405
20.25 -19.394 -19.126 -18.386 -19.238 -19.399 -19.366
20.75 -19.364 -19.117 -18.389 -19.186 -19.353 -19.314
21.25 -19.331 -19.108 -18.386 -19.129 -19.300 -19.257
21.75 -19.292 -19.101 -18.388 -19.067 -19.243 -19.195
22.25 -19.252 -19.094 -18.399 -19.000 -19.183 -19.127
22.75 -19.193 -19.077 -18.397 -18.914 -19.103 -19.041
23.25 -19.135 -19.069 -18.405 -18.827 -19.024 -18.954
23.75 -19.064 -19.060 -18.397 -18.731 -18.933 -18.858
24.25 -18.990 -19.044 -18.418 -18.622 -18.833 -18.748
24.75 -18.907 -19.030 -18.411 -18.513 -18.731 -18.639
25.25 -18.817 -19.015 -18.425 -18.397 -18.622 -18.523
25.75 -18.712 -19.007 -18.441 -18.270 -18.501 -18.396
26.25 -18.608 -19.000 -18.460 -18.137 -18.377 -18.263
26.75 -18.486 -18.985 -18.474 -17.992 -18.238 -18.117
27.25 -18.362 -18.975 -18.511 -17.848 -18.101 -17.973
27.75 -18.234 -18.963 -18.550 -17.697 -17.955 -17.822
28.25 -18.099 -18.949 -18.571 -17.548 -17.811 -17.672
28.75 -17.973 -18.936 -18.601 -17.410 -17.676 -17.534
29.25 -17.847 -18.911 -18.625 -17.263 -17.535 -17.388
29.75 -17.721 -18.886 -18.642 -17.128 -17.404 -17.252
30.25 -17.614 -18.863 -18.652 -17.007 -17.288 -17.132
30.75 -17.516 -18.830 -18.665 -16.897 -17.182 -17.021
31.25 -17.415 -18.801 -18.678 -16.783 -17.074 -16.907
31.75 -17.325 -18.771 -18.683 -16.688 -16.981 -16.812
32.25 -17.250 -18.737 -18.664 -16.596 -16.896 -16.720
32.75 -17.175 -18.702 -18.649 -16.518 -16.820 -16.641
33.25 -17.108 -18.668 -18.643 -16.433 -16.741 -16.556
33.75 -17.036 -18.647 -18.621 -16.366 -16.675 -16.489
34.25 -16.978 -18.605 -18.603 -16.294 -16.609 -16.417
34.75 -16.926 -18.574 -18.575 -16.244 -16.560 -16.367
