# Time ZTFg ZTFr ZTFi B B(intrinsic) B(unreddened)
1.25 -15.021 -14.826 -14.612 -14.954 -15.079 -15.083
1.75 -15.425 -15.337 -15.108 -15.318 -15.447 -15.447
2.25 -15.618 -15.701 -15.385 -15.435 -15.589 -15.563
2.75 -15.728 -15.937 -15.601 -15.414 -15.598 -15.541
3.25 -15.768 -16.210 -15.917 -15.384 -15.587 -15.510
3.75 -15.893 -16.487 -16.228 -15.500 -15.711 -15.627
4.25 -16.188 -16.835 -16.531 -15.821 -16.023 -15.948
4.75 -16.601 -17.097 -16.833 -16.273 -16.462 -16.400
5.25 -17.043 -17.325 -17.057 -16.744 -16.927 -16.871
5.75 -17.411 -17.503 -17.253 -17.166 -17.335 -17.294
6.25 -17.709 -17.690 -17.434 -17.523 -17.679 -17.651
6.75 -17.926 -17.849 -17.582 -17.789 -17.935 -17.917
7.25 -18.115 -17.996 -17.729 -18.012 -18.151 -18.140
7.75 -18.280 -18.139 -17.845 -18.199 -18.333 -18.328
8.25 -18.419 -18.247 -17.946 -18.368 -18.496 -18.497
8.75 -18.536 -18.365 -18.039 -18.499 -18.627 -18.628
9.25 -18.640 -18.444 -18.117 -18.611 -18.737 -18.740
9.75 -18.740 -18.536 -18.163 -18.718 -18.842 -18.847
10.25 -18.824 -18.599 -18.207 -18.803 -18.927 -18.932
10.75 -18.896 -18.664 -18.247 -18.880 -19.005 -19.010
11.25 -18.970 -18.718 -18.272 -18.951 -19.076 -19.080
11.75 -19.027 -18.777 -18.284 -19.002 -19.129 -19.132
12.25 -19.072 -18.815 -18.293 -19.048 -19.175 -19.177
12.75 -19.109 -18.853 -18.294 -19.080 -19.209 -19.210
13.25 -19.149 -18.891 -18.316 -19.111 -19.242 -19.240
13.75 -19.182 -18.921 -18.321 -19.135 -19.268 -19.264
14.25 -19.211 -18.954 -18.322 -19.150 -19.286 -19.279
14.75 -19.222 -18.976 -18.330 -19.154 -19.292 -19.283
15.25 -19.236 -18.991 -18.332 -19.153 -19.294 -19.282
15.75 -19.249 -19.015 -18.327 -19.148 -19.294 -19.276
16.25 -19.249 -19.029 -18.349 -19.129 -19.280 -19.258
16.75 -19.257 -19.045 -18.356 -19.111 -19.267 -19.239
17.25 -19.244 -19.056 -18.343 -19.079 -19.240 -19.206
17.75 -19.233 -19.066 -18.359 -19.041 -19.208 -19.168
18.25 -19.214 -19.068 -18.343 -18.993 -19.168 -19.120
18.75 -19.188 -19.068 -18.348 -18.940 -19.121 -19.067
19.25 -19.157 -19.075 -18.355 -18.877 -19.066 -19.003
19.75 -19.115 -19.068 -18.376 -18.805 -19.001 -18.931
20.25 -19.075 -19.071 -18.373 -18.732 -18.937 -18.858
20.75 -19.020 -19.063 -18.374 -18.645 -18.859 -18.771
21.25 -18.959 -19.061 -18.378 -18.554 -18.776 -18.680
21.75 -18.886 -19.049 -18.379 -18.452 -18.681 -18.577
22.25 -18.814 -19.034 -18.376 -18.347 -18.585 -18.472
22.75 -18.724 -19.029 -18.382 -18.224 -18.469 -18.348
23.25 -18.625 -19.013 -18.382 -18.092 -18.347 -18.216
23.75 -18.524 -18.994 -18.376 -17.965 -18.226 -18.089
24.25 -18.415 -18.978 -18.375 -17.829 -18.097 -17.953
24.75 -18.303 -18.962 -18.382 -17.690 -17.967 -17.814
25.25 -18.186 -18.933 -18.379 -17.555 -17.837 -17.678
25.75 -18.059 -18.910 -18.380 -17.411 -17.699 -17.534
26.25 -17.932 -18.889 -18.398 -17.265 -17.561 -17.389
26.75 -17.810 -18.870 -18.417 -17.133 -17.432 -17.256
27.25 -17.691 -18.850 -18.427 -16.992 -17.299 -17.115
27.75 -17.562 -18.835 -18.453 -16.851 -17.166 -16.974
28.25 -17.466 -18.814 -18.474 -16.748 -17.065 -16.871
28.75 -17.358 -18.802 -18.498 -16.615 -16.941 -16.738
29.25 -17.265 -18.790 -18.516 -16.517 -16.849 -16.640
29.75 -17.168 -18.776 -18.539 -16.406 -16.745 -16.529
30.25 -17.081 -18.755 -18.557 -16.302 -16.648 -16.425
30.75 -17.000 -18.749 -18.557 -16.216 -16.566 -16.338
31.25 -16.936 -18.730 -18.569 -16.133 -16.491 -16.255
31.75 -16.868 -18.710 -18.571 -16.059 -16.420 -16.181
32.25 -16.801 -18.692 -18.565 -15.983 -16.349 -16.105
32.75 -16.751 -18.677 -18.566 -15.918 -16.290 -16.039
33.25 -16.693 -18.647 -18.559 -15.855 -16.231 -15.977
33.75 -16.643 -18.622 -18.551 -15.792 -16.174 -15.913
34.25 -16.596 -18.595 -18.522 -15.730 -16.117 -15.851
34.75 -16.537 -18.562 -18.511 -15.678 -16.065 -15.799
