GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
##KAIT data
1	59711.247	0	18.570	 0.305	17.374	 0.104	17.378	 0.089	17.387	 0.062	17.893	 0.207
2	59712.422	0	17.745	 0.200	17.018	 0.107	17.114	 0.089	17.082	 0.072	17.145	 0.129
3	59717.413	0	16.369	 0.094	16.361	 0.048	16.359	 0.041	16.192	 0.046	16.328	 0.056
4	59720.409	0	16.108	 0.057	16.133	 0.030	16.087	 0.025	15.995	 0.021	16.249	 0.040
5	59722.405	0	16.079	 0.049	15.971	 0.023	15.992	 0.021	15.931	 0.021	16.272	 0.039
6	59723.398	0	16.090	 0.048	15.991	 0.030	16.007	 0.024	15.914	 0.019	16.311	 0.043
7	59724.396	0	16.118	 0.044	15.910	 0.022	16.016	 0.020	15.963	 0.017	16.342	 0.041
8	59726.394	0	16.151	 0.063	16.003	 0.027	16.019	 0.024	15.984	 0.022	16.479	 0.049
9	59730.378	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	59731.378	0	NaN	NaN	NaN	NaN	NaN	NaN	16.239	 0.019	NaN	NaN
11	59732.375	0	NaN	NaN	NaN	NaN	NaN	NaN	16.282	 0.020	NaN	NaN
12	59737.366	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13	59738.361	0	17.476	 0.320	16.602	 0.138	16.739	 0.104	16.636	 0.066	17.066	 0.183
14	59740.351	0	17.631	 0.214	16.862	 0.075	16.762	 0.057	16.760	 0.045	17.061	 0.113
15	59771.272	0	NaN	NaN	NaN	NaN	NaN	NaN	17.959	 0.162	NaN	NaN
16	59793.178	0	NaN	NaN	NaN	NaN	NaN	NaN	18.654	 0.378	NaN	NaN
17	59794.176	0	NaN	NaN	NaN	NaN	NaN	NaN	18.679	 0.270	NaN	NaN
18	59795.178	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
19	59804.168	0	NaN	NaN	NaN	NaN	NaN	NaN	19.153	 0.422	NaN	NaN
20	59805.167	0	NaN	NaN	NaN	NaN	NaN	NaN	19.246	 0.449	NaN	NaN
##Nickel data
1	59718.441	0	16.278	 0.026	16.182	 0.018	16.193	 0.024	NaN	NaN	16.263	 0.028
2	59722.376	0	16.055	 0.013	15.985	 0.011	15.987	 0.011	NaN	NaN	16.207	 0.015
3	59726.352	0	16.136	 0.142	15.930	 0.020	15.931	 0.021	NaN	NaN	16.328	 0.079
4	59733.373	0	16.852	 0.018	16.270	 0.016	16.307	 0.016	NaN	NaN	16.750	 0.038
5	59749.279	0	18.411	 0.069	17.297	 0.023	16.913	 0.021	NaN	NaN	16.936	 0.030
6	59758.264	0	18.884	 0.061	17.800	 0.044	17.372	 0.714	NaN	NaN	17.247	 0.040
7	59768.235	0	19.241	 0.127	18.237	 0.073	18.023	 0.555	NaN	NaN	17.499	 0.628
