jd,fnu_microJy,fnu_microJy_unc,passband,programid,fcqfid,zpdiff,sys_unc_factor,poor_conditions
2458198.8956597,0.7391326976060727,2.6210426620994283,ZTF_r,1,4780622,26.3294,0.9871218263213513,0
2458198.9163194,2.35411955195807,2.483469344935821,ZTF_r,1,4780622,26.32,0.9871218263213513,0
2458202.8556134,0.2236947213547081,4.231323235486491,ZTF_g,1,4780621,26.26,1.0,0
2458205.8684259,7.954575711520445,7.756931512384412,ZTF_g,1,4780621,26.2108,1.0,0
2458205.9011111,-4.893480012020948,11.035105232250132,ZTF_g,1,4780621,26.079,1.0,0
2458208.8376273,-4.444178505191271,39.352360591001855,ZTF_g,1,4780621,25.5483,1.0,1
2458208.8594444,21.07273239031025,51.421107353980105,ZTF_g,1,4780621,25.3817,1.0,1
2458214.8494792,4.978116116656491,13.54015896400234,ZTF_r,1,4780622,25.683,0.9871218263213513,1
2458214.8925926,-47.724648841536876,76.33240948688267,ZTF_i,2,4780623,23.8814,0.989422306196904,1
2458214.90125,98.48277975721037,115.78318336850161,ZTF_g,1,4780621,23.8187,1.0,1
2458217.8688426,20.24417524725736,19.35719559115988,ZTF_r,1,4780622,24.7501,0.9871218263213513,1
2458217.8810301,4.9134439902583695,2.8779245370028,ZTF_r,1,4780622,26.2261,0.9871218263213513,0
2458218.8216204,-3.4864572027250786,2.9936473545710354,ZTF_r,2,4780622,26.219,0.9871218263213513,0
2458219.8208912,-4.185877344953626,6.12707165231917,ZTF_r,2,4780622,25.9313,0.9871218263213513,0
2458222.8068171,6.713266958697683,4.421368560307525,ZTF_r,1,4780622,26.2378,0.9871218263213513,0
2458222.8581019,-1.2124549638818756,4.44563062479891,ZTF_r,1,4780622,26.2574,0.9871218263213513,0
2458225.8957176,7.149935646904243,5.516785734145442,ZTF_r,1,4780622,26.2968,0.9871218263213513,0
2458226.7933333,2.509480393204063,3.425256213360617,ZTF_r,1,4780622,26.2525,0.9871218263213513,0
2458226.8343634,1.3366595031136843,3.344359380203328,ZTF_r,1,4780622,26.2691,0.9871218263213513,0
2458229.7904282,2.048314431582994,3.4770061385896707,ZTF_g,1,4780621,26.2918,1.0,0
2458229.8574306,-0.3696779248720406,2.677239140702699,ZTF_r,1,4780622,26.3041,0.9871218263213513,0
2458232.791713,4.941639699729474,4.966097962120247,ZTF_g,1,4780621,26.2681,1.0,0
2458232.8590856,3.386652326093687,5.39794864068203,ZTF_r,1,4780622,26.2422,0.9871218263213513,0
2458235.8131944,3.9373745456854365,7.501390531053372,ZTF_g,1,4780621,26.2895,1.0,0
2458236.7881134,-14.47807510222967,13.464368649641681,ZTF_g,2,4780621,26.233,1.0,0
2458243.7533102,-0.0049961786345474905,2.5398573017178943,ZTF_g,1,4780621,26.2863,1.0,0
2458243.7948032,0.06263710282118079,3.71277042228125,ZTF_r,1,4780622,26.2863,0.9871218263213513,0
2458243.8548264,1.0504654386725005,5.598226002470193,ZTF_i,2,4780623,25.7508,0.989422306196904,0
2458246.7523495,-2.2108949060325243,4.192065506686062,ZTF_r,1,4780622,26.2786,0.9871218263213513,0
2458246.7932407,2.1980902367471993,2.9669953499998827,ZTF_g,1,4780621,26.2621,1.0,0
2458247.6514583,-8.386401283783684,12.589033606333581,ZTF_i,2,4780623,25.7259,0.989422306196904,0
2458249.7726157,-4.127940906384273,5.357641998482138,ZTF_r,1,4780622,26.2022,0.9871218263213513,1
2458249.8372685,2.9417590387073362,3.525200676765609,ZTF_g,1,4780621,26.2261,1.0,0
2458255.711713,0.941216586542478,2.7309791164936312,ZTF_g,1,4780621,26.2546,1.0,0
2458255.7719444,-1.005904765449676,4.089452382987049,ZTF_r,1,4780622,26.2804,0.9871218263213513,0
2458256.7734028,3.5172303222125376,2.9485702389817066,ZTF_r,2,4780622,26.307,0.9871218263213513,0
2458258.7739815,-1.2135915858353816,2.788055243343579,ZTF_g,1,4780621,26.1997,1.0,0
2458261.7089815,10.454550267633635,7.758767586562897,ZTF_i,1,4780623,25.6903,0.989422306196904,0
2458261.7536921,-0.5687114942617831,8.447055207634122,ZTF_i,2,4780623,25.7014,0.989422306196904,0
2458261.7966204,-6.915540266579565,6.8300027720034215,ZTF_r,1,4780622,26.2796,0.9871218263213513,1
2458267.7118403,-3.2278890742003448,13.604318408062003,ZTF_g,1,4780621,26.2227,1.0,0
2458267.7512269,10.086281708057284,17.245606610313263,ZTF_i,2,4780623,26.3746,0.989422306196904,1
2458267.8140162,24.328683575181202,19.099453698022884,ZTF_r,1,4780622,26.2034,0.9871218263213513,1
2458270.7711111,4.1146579706837,6.727446564342328,ZTF_g,1,4780621,26.2245,1.0,0
2458270.7985417,-1.813826029758798,5.2784452432916815,ZTF_r,1,4780622,26.2618,0.9871218263213513,0
2458273.7346528,2.204509702273845,2.4102045181336953,ZTF_g,1,4780621,26.2993,1.0,0
2458273.8161806,2.0774757381011297,3.432324044100878,ZTF_r,1,4780622,26.2652,0.9871218263213513,0
2458274.8671181,-6.868305076036457,10.914211238152896,ZTF_i,2,4780623,25.3976,0.989422306196904,0
2458276.7321296,-1.5586410594421762,2.0469865165401524,ZTF_g,1,4780621,26.278,1.0,0
2458276.776169,0.7914996089665517,2.712783329997129,ZTF_r,1,4780622,26.2816,0.9871218263213513,0
2458278.6864468,-8.2157793408654,5.239352243826355,ZTF_i,2,4780623,25.7248,0.989422306196904,0
2458279.7110648,0.6303550699562375,2.468056390610164,ZTF_g,1,4780621,26.2718,1.0,0
2458279.7337847,1.3424022875689048,2.7007589326974166,ZTF_r,1,4780622,26.2794,0.9871218263213513,0
2458282.713125,-1.1154031464466745,2.5821052052449587,ZTF_r,1,4780622,26.2911,0.9871218263213513,0
2458282.7523727,-0.615235003826719,2.743475920844331,ZTF_g,1,4780621,26.2187,1.0,0
2458283.6695486,-14.867460940423213,8.433692782716378,ZTF_i,2,4780623,25.7552,0.989422306196904,0
2458285.6902199,-7.242367641341747,34.36218313042098,ZTF_r,1,4780622,24.107,0.9871218263213513,1
2458288.6713426,-10.482687031408588,8.949754544842708,ZTF_i,2,4780623,25.7552,0.989422306196904,0
2458288.7121759,0.005079698755875702,3.213891847227171,ZTF_g,1,4780621,26.2683,1.0,0
2458288.7549653,7.256612515098393,3.1852382440620843,ZTF_r,1,4780622,26.2972,0.9871218263213513,0
2458294.6897338,-1.786673824246849,6.706719112080734,ZTF_g,1,4780621,26.2749,1.0,0
2458295.8177315,4.567096014636553,11.964333516323652,ZTF_i,2,4780623,25.7204,0.989422306196904,0
2458297.7729051,8.90006361224737,7.880373627807564,ZTF_r,1,4780622,26.2406,0.9871218263213513,0
2458300.6760417,-8.347400120010294,4.042935861302997,ZTF_r,1,4780622,26.2497,0.9871218263213513,0
2458300.7292361,6.026841221642083,4.737364405750175,ZTF_g,1,4780621,26.1543,1.0,0
2458304.6763426,3.349651878945218,3.35092158438498,ZTF_r,1,4780622,26.2274,0.9871218263213513,0
2458304.6927662,-0.894259091809419,2.4627335270959025,ZTF_g,1,4780621,26.1995,1.0,0
2458307.6720255,-4.491395875302846,3.823854444472889,ZTF_r,1,4780622,26.1563,0.9871218263213513,0
2458312.6902199,-0.6362529269733336,4.497212628086929,ZTF_r,1,4780622,26.138,0.9871218263213513,0
2458331.6618287,-3.674319757803546,4.477740258628813,ZTF_r,1,4780622,26.1621,0.9871218263213513,0
2458334.6560532,2.951410697374784,6.461384585411603,ZTF_r,1,4780622,26.221,0.9871218263213513,0
2458337.6711458,-3.957550787746001,3.572608624717581,ZTF_g,1,4780621,26.1455,1.0,0
2458337.6911574,0.8178281942594686,3.301748412131249,ZTF_r,1,4780622,26.2231,0.9871218263213513,0
2458348.6522222,7.692286995439951,8.272481098499755,ZTF_g,1,4780621,26.1094,1.0,0
2458348.6909606,13.478217121363313,10.200406301612253,ZTF_r,1,4780622,26.0723,0.9871218263213513,0
2458364.6366782,5.797499928820736,7.792687422474945,ZTF_r,1,4780622,26.1474,0.9871218263213513,0
2458457.0526852,61.1840762065331,208.3140367360783,ZTF_r,2,4780622,22.7025,0.9871218263213513,1
2458457.0622454,-21.574872904066414,40.47698112555739,ZTF_r,2,4780622,24.6589,0.9871218263213513,1
2458458.0496875,20.914197551619857,14.010061894327926,ZTF_r,2,4780622,25.4599,0.9871218263213513,1
2458458.0544792,3.8518432674585887,7.331310162320566,ZTF_r,2,4780622,26.1709,0.9871218263213513,0
2458458.0607986,-4.425013740620471,8.820935339028573,ZTF_r,2,4780622,26.0317,0.9871218263213513,0
2458458.0655787,-18.86519029508934,12.895606688183157,ZTF_r,2,4780622,26.0326,0.9871218263213513,1
2458462.0519444,3.2120819568687726,5.1924669610311325,ZTF_r,2,4780622,26.1874,0.9871218263213513,0
2458462.0566782,0.4196312963074782,4.69296386506215,ZTF_r,2,4780622,26.1829,0.9871218263213513,0
2458462.0614236,6.301457066612058,5.539215593368894,ZTF_r,2,4780622,26.2224,0.9871218263213513,0
2458462.066169,-1.5149533160100532,10.2147897462652,ZTF_r,2,4780622,26.0685,0.9871218263213513,0
2458465.0545023,-8.86066326872058,5.2922882125521395,ZTF_r,2,4780622,26.1657,0.9871218263213513,0
2458465.0593403,-14.092658711232831,11.075411407744742,ZTF_r,2,4780622,25.4245,0.9871218263213513,1
2458465.0641667,-24.640701857322956,27.8981466813473,ZTF_r,2,4780622,24.6994,0.9871218263213513,1
2458465.0690046,109.88176508219784,67.46646836036389,ZTF_r,2,4780622,24.0709,0.9871218263213513,1
2458466.0568403,-2.18051795286894,4.8833674011748505,ZTF_r,2,4780622,26.2443,0.9871218263213513,0
2458466.0617361,-1.345170699662544,5.492482704215686,ZTF_r,2,4780622,26.2577,0.9871218263213513,0
2458466.0666319,8.508666711839757,6.095592850886423,ZTF_r,2,4780622,26.2677,0.9871218263213513,0
2458466.0715394,-1.7217054666309606,10.190682819512153,ZTF_r,2,4780622,26.2551,0.9871218263213513,0
2458468.0575694,-3.1318426491726123,3.989232211027122,ZTF_r,2,4780622,26.2177,0.9871218263213513,0
2458468.0623843,-6.739931692239289,4.118000555671968,ZTF_r,2,4780622,26.2205,0.9871218263213513,0
2458468.066875,2.6608826589643373,4.54748088538172,ZTF_r,2,4780622,26.2234,0.9871218263213513,0
2458468.0716898,-3.220765385828251,39.97402509885442,ZTF_r,2,4780622,24.2799,0.9871218263213513,1
2458477.0389468,1.4865657682687983,6.164763236901279,ZTF_r,1,4780622,26.2555,0.9871218263213513,0
2458481.0237037,-10.423027913082816,8.589264890348105,ZTF_g,1,4780621,26.1451,1.0,0
2458488.0172222,-2.7151130663298235,3.579207343718252,ZTF_g,1,4780621,26.1791,1.0,0
2458488.0473611,-1.3525937036599067,3.1269425671171707,ZTF_r,1,4780622,26.2776,0.9871218263213513,0
2458492.0180671,-1.9218513093844882,4.354096008493443,ZTF_g,1,4780621,26.1655,1.0,0
2458495.0409838,0.1272634522169885,2.9301767927155304,ZTF_g,1,4780621,26.1042,1.0,0
2458502.9662384,-4.795948310562614,15.348843679035104,ZTF_g,1,4780621,25.9475,1.0,0
2458505.9636458,3.6626904737739405,14.922071785342748,ZTF_g,1,4780621,26.183,1.0,0
2458506.0478588,-3.3159813793012813,7.986639919250051,ZTF_r,1,4780622,26.2923,0.9871218263213513,0
2458508.0355787,-3.6488708344856535,7.018055064548881,ZTF_g,1,4780621,26.2855,1.0,0
2458509.0195718,-0.9074331390533227,7.218078896341201,ZTF_r,1,4780622,26.2918,0.9871218263213513,0
2458513.0244444,-14.24883666118687,13.798882762137557,ZTF_r,1,4780622,25.2895,0.9871218263213513,1
2458523.0212037,1.8764403838932049,3.2964804791335682,ZTF_g,1,4780621,26.2536,1.0,0
2458523.0434838,1.5253178594053967,3.055018878034417,ZTF_r,1,4780622,26.2809,0.9871218263213513,0
2458526.9731134,4.535467579564059,5.235401439885464,ZTF_g,1,4780621,25.9387,1.0,0
2458527.0021528,1.5128148040576328,5.789748574388163,ZTF_r,1,4780622,25.9992,0.9871218263213513,0
2458534.9384954,11.525605245502625,12.270199827523676,ZTF_r,1,4780622,26.2413,0.9871218263213513,0
2458539.857581,-9.261328615065121,11.60304803946827,ZTF_r,1,4780622,25.8501,0.9871218263213513,0
2458539.9165972,9.055404130794551,15.524145524598822,ZTF_g,1,4780621,25.6039,1.0,1
2458544.0024653,-4.465343470358716,7.312383080390465,ZTF_g,1,4780621,25.3181,1.0,1
2458547.8958796,-1.3372766338163067,3.6785287117449195,ZTF_g,1,4780621,26.197,1.0,0
