###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59650.590679 -23.539  9.167    -1   13 o  0   1.04 220.41696   3.00675  8220.73  6946.69 3.52 2.98  -8.3 -0.401 19.23 20.94 01a59650o0801o
59650.594137  21.981  2.207     6   13 o  0   1.03 220.41696   3.00675  8241.76  6985.36 3.06 2.90 -17.8 -0.422 19.35 20.96 01a59650o0808o
59650.624278  20.402  0.539    25   14 o  0   0.81 220.41696   3.00675  8189.34  6911.17 2.77 2.70 -88.6 -0.465 19.43 20.95 01a59650o0872o
59650.640394  21.809  1.868     7   13 o  0   0.92 220.41696   3.00675  8174.24  7028.22 2.82 2.71 -75.9 -0.459 19.40 20.91 01a59650o0905o
59651.375961  23.837  7.875     1    8 c  0   1.21 220.41696   3.00675  2383.20  7293.54 2.32 2.03 -86.1 -0.377 19.55 21.53 04a59651o0706c
59651.379219 -22.345  2.091    -4    9 c  0   1.23 220.41696   3.00675  2403.42  7329.75 2.36 2.00 -84.0 -0.364 19.56 21.56 04a59651o0713c
59651.384634 -22.615  2.444    -3    8 c  0   1.37 220.41696   3.00675  2347.13  7247.71 2.31 1.95 -84.7 -0.364 19.55 21.55 04a59651o0724c
59651.389966  20.850  0.609    17   10 c  0   0.97 220.41696   3.00675  2329.25  7360.18 2.38 2.03 -87.2 -0.361 19.55 21.52 04a59651o0735c
59654.532257 -19.952  0.625   -38   24 o  0   1.15 220.41696   3.00675  2330.08  3624.26 3.01 2.88 -49.2 -0.456 18.57 19.42 01a59654o0556o
59654.534079 -21.629  3.027    -8   24 o  0   1.03 220.41696   3.00675  2309.09  3583.16 3.14 3.03 -52.9 -0.431 18.59 19.45 01a59654o0560o
59654.537276 -20.556  1.278   -22   28 o  0   0.81 220.41696   3.00675  2369.17  3660.26 2.84 2.75 -45.2 -0.473 18.70 19.45 01a59654o0567o
59654.548982  21.034  1.476    14   21 o  0   1.26 220.41696   3.00675  2386.43  3542.16 2.72 2.58 -42.3 -0.494 18.75 19.49 01a59654o0592o
59655.299916 -21.166  2.302   -12   29 o  0   1.29 220.41696   3.00675  8201.03  3266.81 2.23 1.94 -24.4 -0.408 18.49 18.74 04a59655o0653o
59655.302906 -21.912  4.388    -6   27 o  0   1.11 220.41696   3.00675  8183.47  3227.93 2.23 1.88 -23.0 -0.413 18.49 18.89 04a59655o0659o
59655.305607  22.896  8.050     2   20 o  0   1.81 220.41696   3.00675  8242.55  3305.44 2.24 1.86 -22.7 -0.408 18.51 18.88 04a59655o0664o
59655.310810 -20.299  1.087   -28   30 o  0   1.03 220.41696   3.00675  8265.68  3187.48 2.31 1.88 -23.0 -0.399 18.45 18.76 04a59655o0675o
59656.426200  18.622  1.338   129  173 o  0   0.97 220.41696   3.00675  5971.34  1291.95 2.14 1.83  46.1 -0.434 16.61 16.14 02a59656o0477o
59656.428027  22.340 24.393     4  103 o  0   1.18 220.41696   3.00675  5990.42  1330.51 2.09 1.83  47.0 -0.470 16.89 16.63 02a59656o0481o
59656.432166 -19.332  1.378   -67   93 o  0   0.87 220.41696   3.00675  5931.66  1252.55 2.22 1.80  47.6 -0.451 17.02 16.82 02a59656o0490o
59656.439038 -19.876  1.385   -41   56 o  0   1.58 220.41696   3.00675  5910.57  1368.88 2.18 1.85  46.1 -0.428 17.63 17.56 02a59656o0505o
59660.566806  20.366  1.330    26   34 o  0   0.93 220.41696   3.00675  4325.64  3464.99 2.44 1.87  36.9 -0.447 18.39 18.67 02a59660o0724o
59660.571010  21.088  2.667    13   36 o  0   0.96 220.41696   3.00675  4306.28  3428.59 2.38 1.92  39.0 -0.448 18.34 18.68 02a59660o0733o
59660.576494  22.506  8.379     4   30 o  0   1.06 220.41696   3.00675  4364.29  3507.76 2.34 1.87  42.6 -0.446 18.44 18.74 02a59660o0745o
59660.590238  19.153  0.567    79   45 o  0   1.00 220.41696   3.00675  4384.03  3391.91 2.40 1.88  40.4 -0.436 18.03 18.17 02a59660o0775o
59661.089164  19.737  0.613    46   28 o  0   1.14 220.41696   3.00675  9680.76  9581.10 2.99 2.66 -18.1 -0.434 18.66 19.34 03a59661o0033o
59661.094180  19.745  0.592    46   27 o  0   1.07 220.41696   3.00675  9655.61  9698.95 2.88 2.52 -30.6 -0.495 18.71 19.29 03a59661o0044o
