,name,z_Marshall,z_NED,ra_recenter,dec_recenter,t0_SALT_adam_jd,E_B_V_SandF,z_Caltech,z_adopt,z_source,z_adopt_unc,t0_B_salt2,t0_g_salt2,t0_r_salt2,x0_salt2,x1_salt2,c_salt2,fratio_gmax_2adam,fratio_rmax_2adam,t0_salt2_unc,x0_salt2_unc,x1_salt2_unc,c_salt2_unc,chisq_salt2,ndof_salt2,n10d_20d,B_app0,B_app0_unc,g_app0,g_app0_unc,r_app0,r_app0_unc,dm15B,dm15B_unc,dm15g,dm15g_unc,dm15r,dm15r_unc,dm15B_rest,dm15B_rest_unc,dm15g_rest,dm15g_rest_unc,dm15r_rest,dm15r_rest_unc,t0_poly_g,t0_poly_g_unc,t0_poly_r,t0_poly_r_unc,dm15g_poly,dm15g_poly_unc,g_app_poly,g_app_poly_unc,r_app_poly,r_app_poly_unc,dm15r_poly,dm15r_poly_unc,dm15g_rest_poly,dm15g_rest_poly_unc,dm15r_rest_poly,dm15r_rest_poly_unc,dm15g_adopted,dm15g_adopted_unc,dm15g_rest_adopted,dm15g_rest_adopted_unc,t0_g_adopted,t0_g_adopted_unc,g_app0_adopt,g_app0_unc_adopt,dm15r_adopted,dm15r_adopted_unc,dm15r_rest_adopted,dm15r_rest_adopted_unc,t0_r_adopted,t0_r_adopted_unc,r_app0_adopt,r_app0_unc_adopt,TNS name,telescope_spec,date_spec,utcjds,phases,Ia subtype,phase used,spec used,ebv_host,ebv_host_unc,sbv,sbv_unc,g_abs0,g_abs0_unc,r_abs0,r_abs0_unc,dis_mod,dis_mod_unc,instrument,nspecs,internal name,B_abs0_SALT2corr,B_abs0_unc_SALT2corr
0,ZTF18aailmnv,0.08,-999.0,214.20207969999998,58.48540855,2458327.66463,0.0083,-999.0,0.08,Msl,0.005,2458327.773847549,2458327.07,2458329.46,2.316599336526961e-14,0.4003304352974553,-0.0640628179865903,5.047074482590987e-08,4.267485750549607e-08,0.09936504554934801,1.4206266131702304e-15,0.4158039497438972,0.046455575080077686,324.0873816181494,179.0,6.0,18.268322498339433,0.06760356407079107,18.380489841199864,0.04898334122927614,18.62595549054731,0.007358290935945219,1.0607907749684244,0.06828963407335165,0.7671624577002518,0.04997708542555439,0.6674728167592718,0.010116290420374895,1.1929819691533652,0.06834933546340473,0.8667335391789166,0.04944171777569168,0.7026401079296178,0.010643563080172416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7671624577002518,0.04997708542555439,0.8667335391789166,0.04944171777569168,2458327.07,0.09936504554934801,18.380489841199864,0.04898334122927614,0.6674728167592718,0.010116290420374895,0.7026401079296178,0.010643563080172416,2458329.46,0.09936504554934801,18.62595549054731,0.007358290935945219,SN2018ebo,P60,20180721,2458320.7916666665,-6.3,normal,-6.0,20180721_P60,0.039087000000000004,0.01034,1.026834,0.017823,-19.325627807076522,0.15154433878307638,-19.080162157729077,0.14359827068845274,37.70611764827639,0.14340961927017354,P60,1.0,ZTF18aailmnv,-19.239200414178526,0.2142828476643261
1,ZTF18aansqun,0.05964,0.059676,251.2920505,42.71786710000001,2458314.61502,0.0127,-999.0,0.059676,NED,0.0001,2458314.533259264,2458314.06,2458315.6,1.2435626888024917e-14,-1.7238276576786866,0.20353038130138226,2.7093520126015163e-08,3.1565345785836424e-08,0.17801119899377227,1.3471379922009142e-15,0.6053710499492411,0.09982585260791632,577.425856417716,475.0,49.0,18.94156905095009,0.11680258790830338,18.94209448779193,0.07526346605953943,18.83015355422113,0.029775146188551663,1.4744780478310917,0.1202145516502193,0.986559206040006,0.07614643490464702,0.7133183960970939,0.04667569932161526,1.6021761841012747,0.12384189819681694,1.0885959208833709,0.0763750313624498,0.7396964467508198,0.04621113847073683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986559206040006,0.07614643490464702,1.0885959208833709,0.0763750313624498,2458314.06,0.17801119899377227,18.94209448779193,0.07526346605953943,0.7133183960970939,0.04667569932161526,0.7396964467508198,0.04621113847073683,2458315.6,0.17801119899377227,18.83015355422113,0.029775146188551663,SN2018dyp,P60,20180713,2458312.7916666665,-1.3,normal,-1.0,20180713_P60,0.348777,0.022542,0.823549,0.021641,-18.095851372276343,0.07535918732437058,-18.207792305847143,0.030016280939579337,37.037945860068284,0.0037970766247379336,P60,1.0,ZTF18aansqun,-18.727320991152467,0.3314167899367838
2,ZTF18aaoxryq,0.094,0.094029,248.8438805,22.4684347,2458342.66995,0.0455,-999.0,0.094029,NED,0.0001,2458342.6121971738,2458341.93,2458344.3,1.500699339710485e-14,-0.2358350085333729,0.01664081540460316,2.8836928076095824e-08,2.8873573243193602e-08,0.0699313422665,1.1380758152594044e-15,0.4908020316186565,0.0626790042016716,288.4236188342559,307.0,55.0,18.739855857451012,0.08160350441337813,18.81818962150636,0.05772959771784294,18.95608297735656,0.008283568556479402,1.1702618284733222,0.08502694421699036,0.8298420712543191,0.05877555314580216,0.6815149959886355,0.02020221534161665,1.3339632803772474,0.0877161111901675,0.9577880398732432,0.061257093118945526,0.7214258870645622,0.020703488856045487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8298420712543191,0.05877555314580216,0.9577880398732432,0.061257093118945526,2458341.93,0.0699313422665,18.81818962150636,0.05772959771784294,0.6815149959886355,0.02020221534161665,0.7214258870645622,0.020703488856045487,2458344.3,0.0699313422665,18.95608297735656,0.008283568556479402,SN2018ert,P60,20180807,2458337.7916666665,-4.1,normal*,-4.0,20180807_P60,0.137567,0.012145,0.9978540000000001,0.014836000000000002,-19.260164268762587,0.0577819985407118,-19.122270912912388,0.008641204240424966,38.078353890268936,0.0024602647611271754,P60,1.0,ZTF18aaoxryq,-19.390084560572202,0.21076611024625352
3,ZTF18aapqwyv,0.055999999999999994,0.055999999999999994,251.60541009999997,25.4214872,2458244.93422,0.039,-999.0,0.055999999999999994,NED,0.0001,2458244.753183189,2458244.29,2458245.77,1.936364009122617e-14,-1.7243229911993811,0.16675727029816212,3.829656163579257e-08,4.381247458985725e-08,0.1816433477215469,1.0106454537439944e-15,0.18409656551702547,0.04168618594238893,3099.3553883500963,476.0,17.0,18.461556252822962,0.05419010142098631,18.476872691814915,0.04036700803710167,18.407529715448238,0.005869561109028673,1.4791235843291162,0.05852864188038673,0.9916371317352386,0.04180162134195403,0.7135036781615938,0.015896781571256183,1.5993504320293113,0.059833552534670285,1.0875254200464397,0.04297483677146973,0.7382363696060708,0.01618691942005934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916371317352386,0.04180162134195403,1.0875254200464397,0.04297483677146973,2458244.29,0.1816433477215469,18.476872691814915,0.04036700803710167,0.7135036781615938,0.015896781571256183,0.7382363696060708,0.01618691942005934,2458245.77,0.1816433477215469,18.407529715448238,0.005869561109028673,SN2018bhc,DCT,20180506,2458244.7916666665,0.5,normal*,1.0,20180506_DCT,0.24555500000000002,0.012872,0.767934,0.010799,-18.41718035756266,0.04056834655688121,-18.486523333929338,0.00712370353849787,36.89405304937758,0.004036756679784547,DCT,1.0,Gaia18bek,-18.949444334478915,0.14117579641826222
4,ZTF18aapsedq,0.065,0.071993,215.3960102,49.5472065,2458248.5230900003,0.0188,-999.0,0.071993,NED,0.0001,2458248.0148051674,2458247.41,2458249.55,2.3048308154582945e-14,-0.08993857030621655,-0.08883010013167514,4.811279660423411e-08,3.968283997507853e-08,0.02785768802277744,7.60316675991196e-16,0.17524373514548408,0.030374891595423836,1158.9562210876754,543.0,23.0,18.2737730234122,0.03606536085471139,18.394997783726424,0.02413497776180485,18.658757253143687,0.0084472078435204,1.150394607547618,0.036575984505293285,0.8236688351780828,0.024501593008958315,0.6786688126621527,0.014621147617068278,1.275855103896184,0.036551083302657605,0.9204653014114684,0.02447739061901993,0.7113949754886946,0.014707779437324969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8236688351780828,0.024501593008958315,0.9204653014114684,0.02447739061901993,2458247.41,0.02785768802277744,18.394997783726424,0.02413497776180485,0.6786688126621527,0.014621147617068278,0.7113949754886946,0.014707779437324969,2458249.55,0.02785768802277744,18.658757253143687,0.0084472078435204,SN2018bgs,P60,20180516,2458254.7916666665,7.4,normal*,7.0,20180516_P60,0.020015,0.005057,0.971894,0.005718,-19.069732018465476,0.02434250643204544,-18.80597254904821,0.009023069776023657,37.4647298021919,0.003171824054287853,P60,1.0,Gaia18bed,-18.915583468371505,0.10127285770266524
5,ZTF18aaqcozd,0.073,0.07320499999999999,190.563055,42.2717146,2458254.2289299998,0.0203,-999.0,0.07320499999999999,NED,0.0001,2458254.069822343,2458253.52,2458255.52,2.1891890677686955e-14,-1.2345776336558654,-0.09914494033403633,4.538566127825348e-08,3.746079508157232e-08,0.05711695761419833,1.4396254117634942e-16,0.07358542484390096,0.006173295733467032,203.5703749884037,166.0,20.0,18.32975997007036,0.007249292359242723,18.452864945651786,0.005418801262824545,18.70473461325577,0.006283749711288336,1.3901693864832367,0.023932493291455147,0.9631721834523574,0.015167789454161322,0.7041828142551907,0.008730750683277295,1.5369726886833492,0.024929807599745425,1.0812317604827797,0.01645612575599419,0.7373440175795167,0.008722699145333898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9631721834523574,0.015167789454161322,1.0812317604827797,0.01645612575599419,2458253.52,0.05711695761419833,18.452864945651786,0.005418801262824545,0.7041828142551907,0.008730750683277295,0.7373440175795167,0.008722699145333898,2458255.52,0.05711695761419833,18.70473461325577,0.006283749711288336,SN2018bjc,NOT,20180511,2458249.7916666665,-3.7,normal,-4.0,20180511_NOT,-0.014466,0.007465,0.845145,0.008863,-19.050001463239575,0.006253634099742439,-18.798131795635594,0.007016412385371088,37.50286640889136,0.0031216233481111315,NOT,1.0,ATLAS18odd,-18.86575712378549,0.0229527129076512
6,ZTF18aaqcqkv,0.12,0.11745,196.51026069999998,48.2773525,2458248.52306,0.0086,-999.0,0.11745,NED,0.0001,2458247.960942667,2458247.24,2458249.4,6.913214405512806e-15,-1.3335078902009911,-0.04015248090719403,1.4998855481751882e-08,1.4205545065054727e-08,0.13917993265204132,4.199530083794608e-16,0.6779788556639619,0.059029796763450985,299.9487052465287,249.0,16.0,19.581578578118485,0.0672106220829197,19.68077517173715,0.04316251899951741,19.861286087295344,0.014296022769292488,1.4074201530694241,0.10788890776023473,0.9685296549372922,0.0579320140574154,0.7060514460937952,0.027468532222342888,1.6401067306759671,0.128429268128601,1.1618578666567243,0.07538492531039018,0.758925236017717,0.030663585936940588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9685296549372922,0.0579320140574154,1.1618578666567243,0.07538492531039018,2458247.24,0.13917993265204132,19.68077517173715,0.04316251899951741,0.7060514460937952,0.027468532222342888,0.758925236017717,0.030663585936940588,2458249.4,0.13917993265204132,19.861286087295344,0.014296022769292488,SN2018lpc,P200,20180517,2458255.7916666665,8.6,normal,9.0,20180517_P200,0.06187,0.016345,0.840677,0.028819,-18.91531230365085,0.04320859765093512,-18.73480138809266,0.01443454646314958,38.596087475387996,0.001994959793252702,P200,1.0,ZTF18aaqcqkv,-18.890036206457214,0.19499635193666745
7,ZTF18aaqcqvr,0.07,0.071644,193.85276100000002,45.57839310000001,2458256.8941599997,0.0284,-999.0,0.071644,NED,0.0001,2458256.942885898,2458256.33,2458258.51,2.539377697493711e-14,0.2033243924308508,-0.02237234393709997,5.155714413993911e-08,4.6315972705345776e-08,0.09252442046999933,1.0236963276153947e-15,0.19633272439671146,0.03420896707110721,429.81454274086457,209.0,26.0,18.16877400482902,0.04460873006934538,18.263688990581787,0.030445464018289937,18.456484707165178,0.007524384194001405,1.0925481616411048,0.04817335622777075,0.784815690577922,0.033609233782459814,0.6717840373156321,0.01089398185396216,1.2132442233516798,0.04721131814661647,0.8764459865714258,0.032517698246650746,0.7042262207081578,0.011661083303408785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.784815690577922,0.033609233782459814,0.8764459865714258,0.032517698246650746,2458256.33,0.09252442046999933,18.263688990581787,0.030445464018289937,0.6717840373156321,0.01089398185396216,0.7042262207081578,0.011661083303408785,2458258.51,0.09252442046999933,18.456484707165178,0.007524384194001405,SN2018bvg,"P60,LT",20180510;20180516,2458248.7916666665;2458254.7916666665,"[-7.5, -1.5]",normal,-8.0,20180510_P60,0.093581,0.0076,1.0231709999999998,0.010768999999999999,-19.18994541544704,0.03061177312661738,-18.997149698863648,0.008171336008600134,37.453634406028826,0.003186592955886743,P60,2.0,PS18sk,-19.215506134994797,0.11511400364235222
8,ZTF18aaqcugm,0.06,0.061864999999999996,202.0530199,53.9160331,2458255.5693599996,0.008,-999.0,0.061864999999999996,NED,0.0001,2458255.633007751,2458255.13,2458256.88,3.464651182660607e-14,-1.1241469217891655,-0.08726187030460597,7.409307687468137e-08,6.081332309160531e-08,0.03548011975362897,9.739837230617366e-16,0.1187762271777979,0.025487363930571938,1737.5321114750018,240.0,35.0,17.831390857613894,0.030984073800084656,17.949936939865278,0.02061809531144277,18.190123265180848,0.007758283540036674,1.363523042921699,0.03194606231800925,0.9476008486890992,0.02173443693924693,0.7016928156301391,0.01191432776576123,1.4861516300971966,0.03165856007727266,1.0453482922705175,0.02132437458193634,0.7298671567858577,0.011927915044376222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9476008486890992,0.02173443693924693,1.0453482922705175,0.02132437458193634,2458255.13,0.03548011975362897,17.949936939865278,0.02061809531144277,0.7016928156301391,0.01191432776576123,0.7298671567858577,0.011927915044376222,2458256.88,0.03548011975362897,18.190123265180848,0.007758283540036674,SN2018bhi,"LT,P60,P60",20180508;20180508;20180509,2458246.7916666665;2458246.7916666665;2458247.7916666665,"[-8.3, -8.3, -7.3]",normal,-7.0,20180509_P60,0.028727,0.006384,0.890094,0.005862,-19.169695487374362,0.020941797694588975,-18.92950916205879,0.008581608234879863,37.119632427239644,0.003667838111115851,P60,3.0,ATLAS18nwv,-19.017729771681463,0.08539510042263987
9,ZTF18aaqffyp,0.07,-999.0,231.94501119999998,34.9482174,2458254.92367,0.0188,-999.0,0.07,Msl,0.005,2458254.675673726,2458254.03,2458256.32,2.028423746603561e-14,0.8676394277158401,0.05508384682131506,4.290238715401467e-08,4.146066608147744e-08,0.03606200870126487,5.308947712956376e-16,0.17067128238235796,0.01905782259944644,3366.524964281234,761.0,42.0,18.412351079114192,0.028509068746322107,18.4770751284356,0.020922020019152183,18.59538867474716,0.003531698614800622,0.9767848375699372,0.02896440518181386,0.7085641200777104,0.02152839248100468,0.6563799544910154,0.0042641868446702215,1.0872232115195004,0.028827620706508662,0.7891302875461932,0.021210770385615658,0.6881231675115203,0.0042252390230480006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7085641200777104,0.02152839248100468,0.7891302875461932,0.021210770385615658,2458254.03,0.03606200870126487,18.4770751284356,0.020922020019152183,0.6563799544910154,0.0042641868446702215,0.6881231675115203,0.0042252390230480006,2458256.32,0.03606200870126487,18.59538867474716,0.003531698614800622,SN2018bhr,P60,20180509,2458247.7916666665,-6.2,normal,-6.0,20180509_P60,0.146308,0.006931999999999999,1.1890120000000002,0.00933,-18.923588145996927,0.16424380060420815,-18.805274599685365,0.16294406405370793,37.40066327443253,0.16290578600907055,P60,1.0,ATLAS18oar,-19.159072120464412,0.17570362035334158
