sn ebv e_ebv sbv e_sbv 
ZTF18aauhxce 0.182140 0.019131 1.203023 0.027713 
ZTF18aavrzxp 0.048281 0.009947 0.825408 0.010229 
ZTF18abckujq 0.008263 0.012123 1.037151 0.026442 
ZTF18aaxsioa 0.150005 0.005636 0.795653 0.003822 
ZTF18abimsyv 0.032537 0.008883 1.123786 0.014084 
ZTF18abssdpi 0.322650 0.016159 1.193959 0.025680 
ZTF18abklljv -0.041577 0.018949 1.106165 0.030972 
ZTF18aaqcqkv 0.041984 0.019074 0.795760 0.027020 
ZTF18abrzeym 0.331429 0.007493 1.024925 0.013675 
ZTF18abxygvv 0.019793 0.007148 1.035174 0.012091 
ZTF18aaqcozd -0.029604 0.009338 0.829141 0.009640 
ZTF18abixjey -0.000297 0.030223 1.119300 0.055719 
ZTF18abjdjge 0.084297 0.024752 1.289229 0.035087 
ZTF18abkhcrj 0.310421 0.009928 1.095606 0.014439 
ZTF18aazabmh 0.244980 0.010928 0.963373 0.011276 
ZTF18abdfazk 0.048179 0.010588 0.946288 0.014614 
ZTF18abjvhec 0.052460 0.012011 1.057648 0.017879 
ZTF18abgmcmv 0.769542 0.006181 1.196055 0.005578 
ZTF18abetehf -0.068934 0.016628 0.852382 0.013358 
ZTF18abfhaji 0.056025 0.005586 0.967400 0.006135 
ZTF18abptsco 0.168339 0.022243 0.817661 0.035565 
ZTF18abkifng 0.049295 0.020263 1.064224 0.031853 
ZTF18aawurud 0.235645 0.021726 1.084408 0.034522 
ZTF18aazjztm 0.191436 0.012150 0.799660 0.009991 
ZTF18abetewu 0.171867 0.019023 1.118686 0.037157 
ZTF18abdkimx 0.078508 0.009113 0.932292 0.009938 
ZTF18aaxcntm 0.212892 0.008836 0.810757 0.006467 
ZTF18aailmnv 0.028127 0.010353 1.025840 0.017827 
ZTF18abgxvra 0.002523 0.009381 1.173380 0.017276 
ZTF18abtnlik 0.133540 0.009174 0.830423 0.011752 
ZTF18abcysdx 0.277505 0.010273 1.058223 0.017776 
ZTF18abauprj 0.028857 0.006589 1.136847 0.009324 
ZTF18abpamut 0.185272 0.016410 1.189040 0.028072 
ZTF18abjtgdo 0.101772 0.012507 0.873968 0.010704 
ZTF18aaxrvzj 0.024311 0.011027 1.120108 0.022829 
ZTF18abpaywm 0.308540 0.005747 1.118099 0.010129 
ZTF18abwnsoc 0.098487 0.010522 1.100396 0.024144 
ZTF18abdbuty 0.137533 0.008176 0.882792 0.007517 
ZTF18abjstcm 0.086572 0.034984 0.901866 0.030773 
ZTF18aapsedq 0.011178 0.005868 0.973174 0.006815 
ZTF18aaxdrjn -0.016491 0.013197 0.748627 0.008562 
